[0329/175029:INFO:CONSOLE(48)] "Uncaught TypeError: Cannot read property 'id' of undefined", source: file:///C:/Program%20Files%20(x86)/WandouLabs/templates/app/javascripts/RequireConfig.js (48)
[0329/175037:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[0329/175037:INFO:CONSOLE(12)] "BackendSocket - File loaded.", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175037:INFO:CONSOLE(12)] "MessageRouterMixin - File loaded.", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175037:INFO:CONSOLE(12)] "Device - File loaded.", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175037:INFO:CONSOLE(12)] "OneRing is now ruling Narya ...", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175037:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175041:INFO:CONSOLE(12)] "BackendSocket - File loaded.", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175041:INFO:CONSOLE(12)] "MessageRouterMixin - File loaded.", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175041:INFO:CONSOLE(12)] "Device - File loaded.", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175041:INFO:CONSOLE(12)] "OneRing is now ruling Narya ...", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175041:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175057:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175057:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175637:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175637:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
.
[0329/175641:INFO:CONSOLE(12)] "Device - File loaded.", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175641:INFO:CONSOLE(12)] "OneRing is now ruling Narya ...", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/175641:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/181926:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/181926:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/190402:INFO:CONSOLE(0)] "event.returnValue is deprecated. Please use the standard event.preventDefault() instead.", source:  (0)
[0329/194444:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/194444:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/194446:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/194446:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/200358:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/200358:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/202230:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/202230:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/202232:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/202232:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/214137:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0329/214137:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=012411.js (12)
[0404/160446:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/160446:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/161411:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/161415:INFO:CONSOLE(50)] "Uncaught TypeError: Cannot set property 'feedItemType' of undefined", source: file:///C:/Program%20Files%20(x86)/WandouLabs/templates/app/javascripts/SnapPea.js (50)
[0404/161415:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/161415:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/164946:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/164946:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/164949:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/164949:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/190754:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/190754:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
[0404/204143:INFO:CONSOLE(12)] "[object Object]", source: http://s.wdjimg.com/style/js/lib/Narya.js?v=121812.js (12)
